Rank,Company,EmployeeCount,Revenue,Profits,Assets,MarketValue,Sector,Industry,Hqcity,Hqstate
158,Synnex,231600,20053.8,300.6,11480.4,4885.1,Wholesalers,Wholesalers: Electronics and Office Equipment,Fremont,CA
159,PNC Financial Services Group,51996,19993,5301,382315,55640.1,Financials,Commercial Banks,Pittsburgh,PA
160,Danaher,71000,19893,2650.9,47832.5,94485.9,Technology,"Scientific, Photographic and Control Equipment",Washington,DC
161,Hartford Financial Services Group,18500,19827,1807,62307,17872.9,Financials,Insurance: Property and Casualty (Stock),Hartford,CT
162,Altria Group,8300,19627,6963,55638,107648.6,"Food, Beverages & Tobacco",Tobacco,Richmond,VA
163,Bank of New York Mellon,51300,19214,4266,362873,48152.7,Financials,Commercial Banks,New York,NY
164,Fluor,53349,19166.6,224.8,8913.6,5137.6,Engineering & Construction,"Engineering, Construction",Irving,TX
165,Avnet,15400,19036.9,-156.4,9596.8,4702.5,Wholesalers,Wholesalers: Electronics and Office Equipment,Phoenix,AZ
166,Icahn Enterprises,29034,18979,1507,23396,13874.6,Financials,Diversified Financials,New York,NY
167,Occidental Petroleum,11000,18934,4131,43854,49509.5,Energy,"Mining, Crude-Oil Production",Houston,TX
168,Molina Healthcare,11000,18890,707,7154,8890.9,Health Care,Health Care: Insurance and Managed Care,Long Beach,CA
169,Genuine Parts,50000,18735.1,810.5,12683,16350.1,Wholesalers,Wholesalers: Diversified,Atlanta,GA
170,Freeport-McMoRan,26800,18628,2602,42216,18678.4,Energy,"Mining, Crude-Oil Production",Phoenix,AZ
171,Kimberly-Clark,41000,18486,1410,14518,42635.2,Household Products,Household and Personal Products,Irving,TX
172,Tenet Healthcare,102795,18313,111,22409,2968.6,Health Care,Health Care: Medical Facilities,Dallas,TX
173,Synchrony Financial,16500,18253,2790,106792,22644.6,Financials,Diversified Financials,Stamford,CT
174,CarMax,25110,17976.8,664.1,17486.3,11690,Retailing,"Automotive Retailing, Services",Richmond,VA
175,HollyFrontier,3622,17714.7,1098,10994.6,8413.6,Energy,Petroleum Refining,Dallas,TX
176,Performance Food Group,15000,17619.9,198.7,4000.9,4170.2,Wholesalers,Wholesalers: Food and Grocery,Richmond,VA
177,Sherwin-Williams,53368,17534.5,1108.7,19134.3,39918.5,Chemicals,Chemicals,Cleveland,OH
178,Emerson Electric,87500,17408,2203,20390,42083,Industrials,"Electronics, Electrical Equipment",St. Louis,MO
